Município,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ITAPOÁ,1396470.86,1680822.76,2543299.02,3207529.81,4129680.31,4848182.97,5594672.93,6256576.93,7018936.01,7934433.85,7713867.22,8438144.46,10345358.88
ITUPORANGA,2983810.8,3864960.8,4551232.96,5315640.48,6356345.51,7429360.96,8589091.15,9336552.46,9377062.12,10334560.16,11059873.82,11968173.49,14388622.43
JABORÁ,303316.18,338710.79,397010.83,418108.01,456374.49,554430.66,646049.44,707511.97,763420.45,1013226.28,931490.15,1057577.5,1265035.59
JACINTO MACHADO,1250538.63,1409564.87,1664954.79,2017313.88,2292711.7,2661142.05,2861647.02,3237557.51,3442342.92,3439339.51,3721210.84,3959597.17,4639735.93
JAGUARUNA,1562593.9,1953197.51,2278768.18,2666338.19,3188368.2,3681467.5,4499418.08,4937446.14,5239406.25,6108869.97,6408484.13,6765052.39,8479364.07
JARAGUÁ DO SUL,86219939.3,99986992.74,110249063.79,115084801.63,138730955.55,149640094.23,155151325.99,153003717.14,161332250.98,167532694.5,175456066.18,177003618.27,211790011.01
JARDINÓPOLIS,59253.47,72769.45,79916.69,90837.65,113836.16,96049.46,77530.37,92921.71,99272.86,133160.86,136731.14,222958.95,327133.97
JOAÇABA,12136353.99,13602638.81,16090234.41,18751538.63,20632711.6,24361100.14,26109642.5,28203499.47,28154135.66,28297701.94,29056637.85,28355373.36,34072275.86
JOINVILLE,209007889.34,246371206.38,278152956.96,306723575.69,351418386.29,384567456.55,393857847.39,403711650.36,442590309.01,472498209.11,473093418.51,471822148.84,578065023.51
JOSÉ BOITEUX,350698.7,409677.25,500230.03,626991.52,722761.45,841796.68,856082.54,977487.43,1070593.31,1096735.65,1175259.84,1201491.11,1399499.7
JUPIÁ,46045.05,69492.17,69392.03,111035.89,154356.34,170266.6,212420.82,254609.08,248438.21,226264.74,168689.42,263851.46,300852.29
LACERDÓPOLIS,223656.29,260542.76,318461.25,368450.7,472261.12,531077.28,595535.73,660762.92,750687.82,844809.74,883905.38,1022305.24,1057900.26
LAGES,25487472.84,31928545.31,36288791.02,41049509.69,46855451.47,52894114.07,56507926.33,59820308.1,65444453.07,68436768.96,66464426.1,68801988.18,81778384.27
LAGUNA,3447101.05,4143784.31,4835850.01,6409406.93,8714941.9,9298555.92,7614425.53,7991097.13,8301916.28,8208387.06,7287567.67,7378818.9,9539003.72
LAJEADO GRANDE,95287.66,129709.52,142029.13,173648.74,142285.27,96741.97,149444.87,219599.35,211938.38,256384.41,281409.56,288025.07,310678.82
LAURENTINO,1205703.5,1493401.25,1670158.55,1955300.57,2238365.92,2852090.6,2823439.1,3175985.69,3182157.76,3384922.73,3536546.58,3721231.62,4458464.32
LAURO MULLER,2253469.74,2546494.45,2904779.9,3112025.16,3807157.9,4896897.04,5687995.25,6372375.5,6600584.2,7192371.96,7751383.69,8281401.95,9333658.79
LEBON RÉGIS,712228.65,953623.8,1132496.35,1225370.33,1317902.48,1444506.79,1311706.07,1795274.68,2007476.42,2110499.3,2176467.71,2174189.17,2568621.59
LEOBERTO LEAL,69692.82,96749.2,95459.08,149617.82,144030.77,203287.59,201642.17,207541.63,232119.47,219876.05,253461.72,278112.6,453828.63
LINDÓIA DO SUL,533006.57,758277.36,943426.84,879378.16,1062136.74,1289720.86,1415652.46,1000885.76,657000.09,649787.16,703239.27,711985.44,649069.94
LONTRAS,1786562.89,2148811.87,2407841.96,2933070.38,3556835.43,3809898.54,4057987.34,4627820.45,5469766.74,5477257.45,5862959.29,6347916.65,7133035.42
LUIZ ALVES,3297623.62,4014299.72,4707577.41,5248291.01,5870240.12,6558658.78,7105009.08,7818891.93,8615761.13,8590558.88,9313219.01,9377106.88,11638256.55
LUZERNA,1142179.54,1423730.88,1766230.94,2083530.24,2432431.79,2861892.53,3175059.8,2981018.42,2933355.11,3301300.65,3295634.59,4136401.5,4882407.19
MACIEIRA,150559.12,145972.46,157181.24,95608.48,168086.99,209614.7,227133.39,277324.05,257173.03,305594.84,346143.99,305721.94,308071.16
MAFRA,7787505.67,8915046.85,9891912.75,11622285.52,13643507.95,14900315.38,15800579.12,17037844.73,20695271.67,21458035.98,21308273.68,21559099.92,25353131.35
MAJOR GERCINO,239029.01,267357.58,364040.42,348632.48,292776.68,443547.68,382933.05,404479.13,388868.31,406648.36,424353.02,361966.04,631468.1
MAJOR VIEIRA,266860.06,317944.04,359964.65,396927.29,470316.45,521081.75,497479.05,555556.53,701839.44,822144.54,1013887.92,1081076.53,1297016.56
MARACAJÁ,1187713.38,1199610.52,1321711.56,1615957.25,1823486.73,2053938.58,2385127.56,2429422.57,2629119.67,2727931.88,2668325.28,3038978.04,3520318.75
MARAVILHA,4748492.54,5853211.36,7214849.62,8418537.06,9724105.15,11444347.29,11945339.05,13270900.5,14936722.51,15618551.08,16622637.17,18422928.51,21689077.34
MAREMA,62310.53,69073.28,82819.02,89832.79,123256.95,162310.04,165958.16,170230.91,215819.81,188035.55,201311.97,174133.7,243360.25
MASSARANDUBA,4132207.59,5428475.17,5775021.88,6889076.22,7810043.47,8934444.95,9410426.95,9414155.81,9524936.71,9982037.23,10397842.5,10364762.63,11936221.63
MATOS COSTA,228307.7,277199.91,288283.8,315118.33,382021.25,392676.78,402725.82,410704.01,295563.56,265171.28,248725.88,241201.89,380448.87
MELEIRO,779722.7,935600.5,1212302.05,1316814.73,1431054.77,1609156.14,1704584.68,1752087.19,1909543.65,1931348.05,1987068.05,1884385.45,2270816.94
MIRIM DOCE,184676.79,252576.66,284621.2,353046.75,327750.39,463991.52,485351.85,499470.96,417188.11,471258.24,640140.45,680520.65,841350.59
