,Município,1991,2000,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
96,BRUNÓPOLIS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2814.0,2778.0,2741.0,2690.0,2639.0,2589.0,2539.0,2473.0,2420.0,2368.0,2318.0
97,BRUSQUE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,107764.0,109950.0,116634.0,119719.0,122775.0,125810.0,128818.0,131703.0,134723.0,137689.0,140597.0
98,CAÇADOR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71334.0,71886.0,74276.0,75048.0,75812.0,76571.0,77323.0,77863.0,78595.0,79313.0,80017.0
99,CAFEARA,2833.0,2853.0,2873.0,2892.0,2911.0,2914.0,2934.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2712.0,2727.0,-1.0
100,CAFELÂNDIA,16020.0,16321.0,16611.0,16896.0,17175.0,17775.0,18120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14933.0,15194.0,-1.0
101,CAFEZAL DO SUL,4334.0,4310.0,4288.0,4266.0,4245.0,4080.0,4044.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4263.0,4236.0,-1.0
102,CAIBI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6209.0,6199.0,6274.0,6259.0,6243.0,6228.0,6213.0,6167.0,6148.0,6130.0,6112.0
103,CALIFÓRNIA,8423.0,8464.0,8505.0,8545.0,8583.0,8533.0,8570.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8100.0,8129.0,-1.0
104,CALMON,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3381.0,3375.0,3416.0,3407.0,3398.0,3389.0,3380.0,3357.0,3346.0,3335.0,3325.0
105,CAMBARÁ,24928.0,25051.0,25170.0,25287.0,25401.0,25252.0,25360.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23974.0,24060.0,-1.0
106,CAMBÉ,102222.0,103036.0,103822.0,104592.0,105347.0,105704.0,106533.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97390.0,98024.0,-1.0
107,CAMBIRA,7603.0,7657.0,7708.0,7759.0,7808.0,7813.0,7865.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7279.0,7319.0,-1.0
108,CAMBORIÚ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63967.0,65520.0,70068.0,72261.0,74434.0,76592.0,78731.0,80834.0,82989.0,85105.0,87179.0
109,CAMPINA DA LAGOA,15463.0,15353.0,15247.0,15144.0,15042.0,14366.0,14202.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15270.0,15149.0,-1.0
110,CAMPINA DO SIMÃO,4130.0,4113.0,4096.0,4079.0,4062.0,3917.0,3887.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4054.0,4033.0,-1.0
111,CAMPINA GRANDE DO SUL,41060.0,41447.0,41821.0,42187.0,42547.0,42880.0,43288.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39092.0,39404.0,-1.0
112,CAMPO ALEGRE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11757.0,11766.0,11972.0,11982.0,11992.0,12002.0,12012.0,11974.0,11978.0,11981.0,11985.0
113,CAMPO BELO DO SUL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7440.0,7398.0,7419.0,7358.0,7297.0,7237.0,7177.0,7081.0,7016.0,6952.0,6889.0
114,CAMPO BONITO,4361.0,4309.0,4259.0,4210.0,4162.0,3905.0,3833.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4352.0,4299.0,-1.0
115,CAMPO DO TENENTE,7550.0,7623.0,7693.0,7762.0,7829.0,7894.0,7971.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7186.0,7245.0,-1.0
116,CAMPO ERÊ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9295.0,9222.0,9203.0,9098.0,8993.0,8890.0,8787.0,8636.0,8526.0,8418.0,8312.0
117,CAMPO LARGO,120730.0,122443.0,124098.0,125719.0,127309.0,130091.0,132002.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,113882.0,115336.0,-1.0
118,CAMPO MAGRO,26755.0,27143.0,27517.0,27884.0,28244.0,28885.0,29318.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25184.0,25513.0,-1.0
119,CAMPO MOURÃO,91648.0,92300.0,92930.0,93547.0,94153.0,94212.0,94859.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87710.0,88209.0,-1.0
120,CAMPOS NOVOS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33073.0,33313.0,34386.0,34721.0,35054.0,35383.0,35710.0,35930.0,36244.0,36556.0,36861.0
121,CÂNDIDO DE ABREU,16633.0,16484.0,16339.0,16198.0,16059.0,15233.0,15018.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16491.0,16332.0,-1.0
122,CANDÓI,15657.0,15741.0,15822.0,15901.0,15978.0,15903.0,15979.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15045.0,15104.0,-1.0
123,CANELINHA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10726.0,10845.0,11286.0,11452.0,11617.0,11781.0,11944.0,12080.0,12240.0,12398.0,12553.0
124,CANOINHAS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52853.0,52937.0,53969.0,54079.0,54188.0,54296.0,54403.0,54319.0,54401.0,54480.0,54558.0
125,CANTAGALO,13396.0,13424.0,13452.0,13478.0,13505.0,13306.0,13317.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12963.0,12974.0,-1.0
126,CAPANEMA,19182.0,19229.0,19275.0,19320.0,19364.0,19099.0,19124.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18549.0,18570.0,-1.0
127,CAPÃO ALTO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2733.0,2713.0,2711.0,2682.0,2654.0,2625.0,2597.0,2556.0,2525.0,2496.0,2467.0
128,CAPINZAL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20919.0,21064.0,21726.0,21928.0,22129.0,22327.0,22524.0,22658.0,22848.0,23035.0,23218.0
129,CAPITÃO LEÔNIDAS MARQUES,15592.0,15659.0,15724.0,15788.0,15850.0,15724.0,15780.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15016.0,15060.0,-1.0
130,CAPIVARI DE BAIXO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21913.0,22145.0,23018.0,23342.0,23663.0,23982.0,24298.0,24559.0,24871.0,25177.0,25477.0
131,CARAMBEÍ,20863.0,21233.0,21590.0,21939.0,22282.0,22993.0,23415.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19494.0,19813.0,-1.0
132,CARLÓPOLIS,14239.0,14289.0,14337.0,14384.0,14431.0,14283.0,14320.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13737.0,13767.0,-1.0
133,CASCAVEL,305615.0,309259.0,312778.0,316226.0,319608.0,324476.0,328454.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,289340.0,292372.0,-1.0
134,CASTRO,70086.0,70454.0,70810.0,71159.0,71501.0,71151.0,71484.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67353.0,67613.0,-1.0
135,CATANDUVAS,10467.0,10463.0,10459.0,10455.0,10451.0,10213.0,19842.0,9746.0,10112.0,10244.0,10374.0,10503.0,10632.0,10735.0,21047.0,21153.0,11106.0
